Freq.	V(out)
3.89045144994279e+01	(-2.88720328239892e+01dB,-1.28547124821915e+02°)
3.98107170553495e+01	(-2.83427145858405e+01dB,-1.29231918326764e+02°)
4.07380277804111e+01	(-2.78155041961150e+01dB,-1.29922041478528e+02°)
4.16869383470333e+01	(-2.72904273963211e+01dB,-1.30617235968522e+02°)
4.26579518801591e+01	(-2.67675080731220e+01dB,-1.31317234992643e+02°)
4.36515832240164e+01	(-2.62467681625521e+01dB,-1.32021763875233e+02°)
4.46683592150961e+01	(-2.57282275586760e+01dB,-1.32730540751199e+02°)
4.57088189614873e+01	(-2.52119040307246e+01dB,-1.33443277285848e+02°)
4.67735141287196e+01	(-2.46978131448897e+01dB,-1.34159679453409e+02°)
4.78630092322636e+01	(-2.41859681975784e+01dB,-1.34879448335973e+02°)
4.89778819368444e+01	(-2.36763801534992e+01dB,-1.35602280978948e+02°)
5.01187233627270e+01	(-2.31690575953341e+01dB,-1.36327871262723e+02°)
5.12861383991362e+01	(-2.26640066803452e+01dB,-1.37055910815283e+02°)
5.24807460249770e+01	(-2.21612311088134e+01dB,-1.37786089933117e+02°)
5.37031796370250e+01	(-2.16607321015956e+01dB,-1.38518098522511e+02°)
5.49540873857622e+01	(-2.11625083875410e+01dB,-1.39251627052442e+02°)
5.62341325190346e+01	(-2.06665562008137e+01dB,-1.39986367513747e+02°)
5.75439937337154e+01	(-2.01728692903184e+01dB,-1.40722014363245e+02°)
5.88843655355586e+01	(-1.96814389364454e+01dB,-1.41458265479079e+02°)
6.02559586074355e+01	(-1.91922539800616e+01dB,-1.42194823086364e+02°)
6.16595001861479e+01	(-1.87053008600660e+01dB,-1.42931394670938e+02°)
6.30957344480190e+01	(-1.82205636602377e+01dB,-1.43667693868562e+02°)
6.45654229034652e+01	(-1.77380241650956e+01dB,-1.44403441323245e+02°)
6.60693448007593e+01	(-1.72576619245379e+01dB,-1.45138365507469e+02°)
6.76082975391978e+01	(-1.67794543250776e+01dB,-1.45872203512935e+02°)
6.91830970918933e+01	(-1.63033766693597e+01dB,-1.46604701789570e+02°)
7.07945784384134e+01	(-1.58294022611178e+01dB,-1.47335616846876e+02°)
7.24435960074986e+01	(-1.53575024969158e+01dB,-1.48064715897556e+02°)
7.41310241300914e+01	(-1.48876469614064e+01dB,-1.48791777462786e+02°)
7.58577575029180e+01	(-1.44198035285029e+01dB,-1.49516591909593e+02°)
7.76247116628688e+01	(-1.39539384640075e+01dB,-1.50238961952059e+02°)
7.94328234724277e+01	(-1.34900165322618e+01dB,-1.50958703085553e+02°)
8.12830516164095e+01	(-1.30280011046480e+01dB,-1.51675643965835e+02°)
8.31763771102667e+01	(-1.25678542678792e+01dB,-1.52389626746793e+02°)
8.51138038202372e+01	(-1.21095369337014e+01dB,-1.53100507354873e+02°)
8.70963589956076e+01	(-1.16530089486879e+01dB,-1.53808155706372e+02°)
8.91250938133741e+01	(-1.11982292012280e+01dB,-1.54512455893203e+02°)
9.12010839355905e+01	(-1.07451557286799e+01dB,-1.55213306301562e+02°)
9.33254300796986e+01	(-1.02937458210106e+01dB,-1.55910619698592e+02°)
9.54992586021431e+01	(-9.84395612305371e+00dB,-1.56604323260440e+02°)
9.77237220955805e+01	(-9.39574273157081e+00dB,-1.57294358582553e+02°)
9.99999999999995e+01	(-8.94906129074076e+00dB,-1.57980681628718e+02°)
1.02329299228075e+02	(-8.50386708202156e+00dB,-1.58663262664864e+02°)
1.04712854805089e+02	(-8.06011511049150e+00dB,-1.59342086152593e+02°)
1.07151930523760e+02	(-7.61776018628001e+00dB,-1.60017150619169e+02°)
1.09647819614318e+02	(-7.17675700116515e+00dB,-1.60688468504087e+02°)
1.12201845430196e+02	(-6.73706020011936e+00dB,-1.61356065986472e+02°)
1.14815362149688e+02	(-6.29862444810389e+00dB,-1.62019982790979e+02°)
1.17489755493952e+02	(-5.86140449101607e+00dB,-1.62680271989734e+02°)
